District,District ID,نوع ملک,پارکینگ,آسانسور,metrazh,room,house_age,price2
اسکندری,894,آپارتمان,ندارد,ندارد,37,1,22,1380000000.0
افسریه,903,آپارتمان,دارد,دارد,145,3,0,6700000000.0
افسریه,903,آپارتمان,دارد,دارد,108,2,0,4000000000.0
افسریه,903,آپارتمان,دارد,دارد,120,2,0,1656000000.0
افسریه,903,آپارتمان,دارد,دارد,95,2,0,4500000000.0
افسریه,903,آپارتمان,دارد,دارد,120,2,0,1680000000.0
افسریه,903,آپارتمان,دارد,ندارد,72,2,14,2200000000.0
افسریه,903,آپارتمان,دارد,دارد,138,2,2,4000000000.0
افسریه,903,خانه و کلنگی,دارد,ندارد,360,6,24,33000000000.0
افسریه,903,آپارتمان,دارد,دارد,50,2,11,1000000000.0
افسریه,903,آپارتمان,دارد,دارد,70,1,0,1100000000.0
افسریه,903,خانه و کلنگی,ندارد,ندارد,120,3,16,6400000000.0
افسریه,903,خانه و کلنگی,ندارد,ندارد,120,6,30,6000000000.0
افسریه,903,آپارتمان,دارد,دارد,130,3,0,5000000000.0
افسریه,903,آپارتمان,ندارد,دارد,100,2,19,2300000000.0
افسریه,903,آپارتمان,دارد,دارد,120,2,0,1960000000.0
افسریه,903,آپارتمان,دارد,دارد,100,2,0,1400000000.0
افسریه,903,آپارتمان,ندارد,دارد,110,2,21,2882000000.0
افسریه,903,آپارتمان,دارد,دارد,124,3,0,700000000.0
افسریه,903,آپارتمان,ندارد,ندارد,64,2,12,1900000000.0
افسریه,903,آپارتمان,دارد,دارد,66,2,1,2500000000.0
افسریه,903,آپارتمان,دارد,ندارد,65,1,9,2800000000.0
افسریه,903,آپارتمان,دارد,دارد,115,2,0,4350000000.0
افسریه,903,آپارتمان,دارد,دارد,100,2,0,1380000000.0
افسریه,903,آپارتمان,دارد,دارد,95,2,0,4250000000.0
افسریه,903,آپارتمان,دارد,ندارد,64,2,18,2600000000.0
افسریه,903,آپارتمان,ندارد,دارد,74,2,6,2650000000.0
افسریه,903,آپارتمان,دارد,دارد,112,3,0,5100000000.0
افسریه,903,خانه و کلنگی,دارد,ندارد,90,2,3,760000000.0
افسریه,903,آپارتمان,دارد,دارد,125,3,0,700000000.0
افسریه,903,آپارتمان,ندارد,دارد,60,1,21,1680000000.0
افسریه,903,آپارتمان,دارد,دارد,100,2,0,1380000000.0
افسریه,903,آپارتمان,دارد,دارد,95,2,0,4500000000.0
افسریه,903,آپارتمان,دارد,دارد,100,2,0,1380000000.0
افسریه,903,خانه و کلنگی,ندارد,ندارد,120,3,30,10300000000.0
افسریه,903,آپارتمان,ندارد,ندارد,65,2,11,2050000000.0
افسریه,903,آپارتمان,دارد,دارد,70,2,0,3700000000.0
افسریه,903,آپارتمان,دارد,ندارد,72,2,12,3200000000.0
افسریه,903,آپارتمان,دارد,دارد,135,3,0,6400000000.0
افسریه,903,آپارتمان,دارد,ندارد,52,1,18,2100000000.0
افسریه,903,آپارتمان,دارد,دارد,146,3,0,5700000000.0
افسریه,903,آپارتمان,دارد,دارد,100,2,0,1350000000.0
افسریه,903,آپارتمان,دارد,دارد,95,2,0,4500000000.0
افسریه,903,خانه و کلنگی,ندارد,ندارد,120,1,30,9500000000.0
افسریه,903,آپارتمان,ندارد,ندارد,63,1,27,2500000000.0
افسریه,903,آپارتمان,دارد,دارد,70,2,5,3320000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,145,6,0,16500000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,127,3,0,15240000000.0
اقدسیه,3566,آپارتمان,ندارد,ندارد,100,2,2,12400000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,145,2,0,12400000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,216,3,15,24500000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,108,2,11,7500000000.0
اقدسیه,3566,آپارتمان,ندارد,ندارد,116,2,12,13300000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,170,3,7,16000000000.0
اقدسیه,3566,خانه و کلنگی,ندارد,ندارد,1200,6,30,99000000000.0
اقدسیه,3566,آپارتمان,ندارد,دارد,130,3,17,10400000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,243,3,21,36400000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,127,3,0,14800000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,82,2,9,5850000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,170,3,1,20400000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,250,3,20,35000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,170,3,0,19000000000.0
اقدسیه,3566,ویلا,دارد,ندارد,425,3,0,7500000000.0
اقدسیه,3566,خانه و کلنگی,دارد,دارد,320,6,27,43000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,320,4,6,35000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,800,3,0,24000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,245,3,0,31000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,230,3,11,21000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,172,3,0,27000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,126,2,1,12600000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,107,2,0,10700000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,65,1,5,5800000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,200,3,14,24000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,300,4,3,66000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,310,4,1,68200000000.0
اقدسیه,3566,خانه و کلنگی,دارد,ندارد,160,6,30,22000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,122,2,5,13300000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,310,4,1,48050000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,150,3,0,17800000000.0
اقدسیه,3566,آپارتمان,ندارد,ندارد,135,3,10,12500000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,155,3,13,23199000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,230,3,2,63000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,136,2,6,17000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,360,3,0,90000000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,120,2,13,9100000000.0
اقدسیه,3566,آپارتمان,دارد,دارد,266,4,11,35000000000.0
الهیه,909,آپارتمان,دارد,دارد,375,3,17,47000000000.0
الهیه,909,آپارتمان,دارد,دارد,315,4,10,39350000000.0
الهیه,909,آپارتمان,دارد,دارد,350,4,7,52800000000.0
الهیه,909,آپارتمان,دارد,دارد,185,3,12,24050000000.0
الهیه,909,آپارتمان,دارد,دارد,105,2,15,11500000000.0
الهیه,909,آپارتمان,دارد,دارد,295,3,3,94500000000.0
الهیه,909,آپارتمان,دارد,دارد,103,2,19,12000000000.0
الهیه,909,آپارتمان,دارد,دارد,380,3,18,47000000000.0
الهیه,909,آپارتمان,دارد,دارد,103,2,18,12000000000.0
الهیه,909,آپارتمان,دارد,دارد,320,3,0,99000000000.0
امیر بهادر,5304,آپارتمان,ندارد,ندارد,45,1,13,1750000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,74,2,14,2780000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,65,1,0,3250000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,116,2,1,9228000000.0
امیر بهادر,5304,آپارتمان,ندارد,ندارد,48,1,18,1350000000.0
امیر بهادر,5304,خانه و کلنگی,ندارد,ندارد,270,4,31,5500000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,40,1,0,2000000000.0
امیر بهادر,5304,آپارتمان,ندارد,دارد,52,1,16,2000000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,66,2,16,2500000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,95,2,0,5130000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,40,1,0,2000000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,90,2,12,2990000000.0
امیر بهادر,5304,آپارتمان,دارد,ندارد,46,1,17,1650000000.0
امیر بهادر,5304,آپارتمان,دارد,ندارد,58,2,25,2150000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,104,2,0,3640000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,111,3,3,5660000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,80,2,4,4000000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,70,2,0,966000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,60,1,0,2700000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,113,3,0,4750000000.0
امیر بهادر,5304,آپارتمان,ندارد,ندارد,50,1,16,2500000000.0
امیر بهادر,5304,آپارتمان,ندارد,دارد,40,1,0,1850000000.0
امیر بهادر,5304,آپارتمان,ندارد,دارد,83,2,5,3250000000.0
امیر بهادر,5304,آپارتمان,دارد,دارد,62,1,6,3500000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,215,4,0,21500000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,250,4,0,25000000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,138,3,0,11730000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,95,2,1,9300000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,125,2,7,10750000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,235,4,0,23500000000.0
امیرآباد,4646,آپارتمان,ندارد,دارد,78,2,6,4950000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,95,2,3,9300000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,107,2,0,10700000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,235,4,0,23500000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,118,2,11,8260000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,144,3,1,13950000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,200,3,26,12000000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,139,3,0,14595000000.0
امیرآباد,4646,آپارتمان,دارد,دارد,125,3,10,9950000000.0
امیریه,921,آپارتمان,ندارد,دارد,65,1,11,1950000000.0
امیریه,921,آپارتمان,دارد,دارد,122,2,9,6000000000.0
امیریه,921,آپارتمان,دارد,ندارد,48,1,19,1530000000.0
امیریه,921,آپارتمان,ندارد,دارد,56,1,12,1620000000.0
امیریه,921,آپارتمان,دارد,ندارد,75,2,17,2800000000.0
امیریه,921,آپارتمان,دارد,دارد,140,3,5,5300000000.0
امیریه,921,آپارتمان,دارد,دارد,140,2,3,7500000000.0
امیریه,921,آپارتمان,ندارد,ندارد,93,2,21,2500000000.0
امیریه,921,آپارتمان,دارد,دارد,110,2,16,5400000000.0
امیریه,921,آپارتمان,ندارد,ندارد,80,2,20,3000000000.0
امیریه,921,آپارتمان,ندارد,دارد,94,2,0,2400000000.0
امیریه,921,آپارتمان,دارد,دارد,95,2,2,3700000000.0
امیریه,921,آپارتمان,ندارد,ندارد,60,2,16,1600000000.0
امیریه,921,آپارتمان,دارد,دارد,58,1,5,2500000000.0
امیریه,921,آپارتمان,دارد,دارد,42,1,0,2000000000.0
امیریه,921,آپارتمان,ندارد,ندارد,44,1,23,1400000000.0
امیریه,921,آپارتمان,دارد,ندارد,55,1,10,1900000000.0
امیریه,921,آپارتمان,ندارد,ندارد,48,1,26,1500000000.0
امیریه,921,آپارتمان,دارد,دارد,70,2,7,3650000000.0
امیریه,921,آپارتمان,ندارد,دارد,52,1,10,2000000000.0
امیریه,921,آپارتمان,دارد,دارد,60,1,5,2500000000.0
امیریه,921,آپارتمان,دارد,ندارد,50,1,15,1570000000.0
امیریه,921,آپارتمان,دارد,دارد,60,1,5,2600000000.0
امیریه,921,آپارتمان,ندارد,ندارد,34,1,10,935000000.0
امیریه,921,آپارتمان,ندارد,ندارد,83,2,30,2200000000.0
امیریه,921,آپارتمان,دارد,دارد,85,2,0,3650000000.0
امیریه,921,آپارتمان,دارد,دارد,150,3,0,1570000000.0
امیریه,921,آپارتمان,دارد,ندارد,60,2,12,2500000000.0
امیریه,921,آپارتمان,دارد,دارد,90,2,0,3820000000.0
امیریه,921,آپارتمان,ندارد,ندارد,82,2,11,2400000000.0
امیریه,921,آپارتمان,دارد,دارد,95,2,1,3800000000.0
امیریه,921,آپارتمان,ندارد,ندارد,49,1,22,1150000000.0
امیریه,921,آپارتمان,دارد,دارد,100,2,0,1400000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,100,2,0,1280000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,250,3,0,35000000000.0
اندرزگو,9049,خانه و کلنگی,ندارد,ندارد,105,2,30,13500000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,130,2,6,15300000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,183,3,0,26000000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,100,2,0,1380000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,130,2,6,15500000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,65,1,10,8000000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,160,3,1,22000000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,103,2,0,1350000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,100,2,6,8700000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,240,4,0,5544000008.0
اندرزگو,9049,آپارتمان,دارد,دارد,173,3,3,19850000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,145,3,16,12500000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,110,2,0,13500000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,91,2,0,2000000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,234,3,5,26000000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,50,1,2,6600000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,160,3,0,5985000000.0
اندرزگو,9049,ویلا,دارد,ندارد,350,4,31,84000000000.0
اندرزگو,9049,آپارتمان,دارد,ندارد,75,2,29,5200000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,75,1,8,7900000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,135,3,19,12800000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,100,2,0,580000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,142,3,16,13500000000.0
اندرزگو,9049,آپارتمان,ندارد,دارد,56,1,11,5500000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,130,2,6,15600000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,130,2,6,15350000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,110,2,0,12200000000.0
اندرزگو,9049,آپارتمان,دارد,دارد,130,2,5,15340000000.0
بازار,938,آپارتمان,دارد,دارد,120,3,0,780000000.0
بازار,938,آپارتمان,دارد,ندارد,57,1,11,1600000000.0
بازار,938,آپارتمان,دارد,دارد,103,2,7,3700000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,155,6,30,2635000000.0
بازار,938,آپارتمان,دارد,دارد,121,3,0,1000000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,136,2,30,5500000000.0
بازار,938,آپارتمان,دارد,دارد,80,2,6,1760000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,165,2,30,3500000000.0
بازار,938,آپارتمان,ندارد,ندارد,120,2,31,7800000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,245,6,28,23500000000.0
بازار,938,خانه و کلنگی,دارد,ندارد,61,1,28,5200000000.0
بازار,938,آپارتمان,دارد,دارد,100,2,0,1400000000.0
بازار,938,آپارتمان,ندارد,دارد,61,1,0,800000000.0
بازار,938,آپارتمان,ندارد,دارد,56,1,18,1620000000.0
بازار,938,خانه و کلنگی,دارد,ندارد,257,3,21,11500000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,210,6,31,8400000000.0
بازار,938,آپارتمان,دارد,دارد,78,2,5,2600000000.0
بازار,938,آپارتمان,دارد,دارد,85,2,1,2300000000.0
بازار,938,آپارتمان,ندارد,ندارد,72,2,16,1260000000.0
بازار,938,آپارتمان,دارد,دارد,41,1,7,1250000000.0
بازار,938,خانه و کلنگی,دارد,ندارد,143,2,26,7293000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,475,6,30,33250000000.0
بازار,938,آپارتمان,ندارد,دارد,63,2,8,1410000000.0
بازار,938,آپارتمان,ندارد,ندارد,57,2,16,1650000000.0
بازار,938,آپارتمان,دارد,دارد,57,1,9,1850000000.0
بازار,938,آپارتمان,دارد,دارد,100,2,0,1300000000.0
بازار,938,آپارتمان,ندارد,ندارد,43,1,16,950000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,57,3,31,3420000000.0
بازار,938,آپارتمان,ندارد,دارد,63,2,6,1700000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,61,1,28,5200000000.0
بازار,938,آپارتمان,ندارد,ندارد,39,1,16,1250000000.0
بازار,938,آپارتمان,ندارد,دارد,63,2,8,1430000000.0
بازار,938,خانه و کلنگی,ندارد,ندارد,72,3,27,2480000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,48,1,8,2300000000.0
باغ صبا,3585,خانه و کلنگی,دارد,دارد,523,6,31,47000000000.0
باغ صبا,3585,آپارتمان,ندارد,ندارد,50,1,25,1900000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,70,2,0,4900000000.0
باغ صبا,3585,آپارتمان,ندارد,ندارد,35,1,13,2200000000.0
باغ صبا,3585,آپارتمان,ندارد,دارد,44,1,5,2800000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,107,2,21,6000000000.0
باغ صبا,3585,آپارتمان,ندارد,ندارد,60,1,26,1800000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,95,2,0,6650000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,118,2,0,10400000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,100,2,0,7500000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,127,3,0,8500000000.0
باغ صبا,3585,آپارتمان,دارد,دارد,74,2,4,3920000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,167,3,18,8800000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,88,2,5,5800000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,90,2,6,5750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,95,2,0,6300000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,97,2,0,6000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,101,2,17,6580000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,83,2,14,5000000000.0
باغ فیض,4667,آپارتمان,ندارد,ندارد,73,2,19,2750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,70,2,0,6150000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,55,1,19,3980000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,78,1,0,4600000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,54,1,17,3950000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,146,3,3,10600000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,73,2,17,4950000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,80,1,5,6000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,71,1,0,3750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,50,1,14,3400000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,88,2,2,6000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,67,1,0,4000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,67,1,0,4400000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,100,2,0,7000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,92,2,18,5850000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,75,2,17,5050000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,73,2,19,5150000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,54,1,18,4000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,80,2,21,5100000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,54,2,18,3900000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,100,2,0,7000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,54,1,12,4500000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,90,2,0,6600000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,88,2,0,5900000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,220,3,0,14500000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,117,2,7,7800000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,64,1,0,4290000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,73,2,18,5150000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,50,1,0,4000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,64,1,6,4700000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,80,2,15,5750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,77,2,17,5750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,95,2,0,6600000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,76,2,17,5750000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,67,1,0,3490000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,85,2,11,6000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,85,2,11,5870000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,54,1,13,3800000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,85,2,5,6100000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,65,1,4,4500000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,46,1,6,4150000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,111,3,7,6950000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,72,2,2,5050000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,65,1,0,4250000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,105,2,10,7600000000.0
باغ فیض,4667,آپارتمان,ندارد,ندارد,45,1,22,2800000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,92,2,17,4500000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,120,2,0,9600000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,90,2,15,5950000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,86,2,9,5680000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,92,2,18,5850000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,82,2,9,6200000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,83,2,10,5400000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,66,1,0,3500000000.0
باغ فیض,4667,آپارتمان,دارد,ندارد,64,1,21,4450000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,128,3,13,8500000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,93,2,16,6100000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,85,2,11,6000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,138,3,0,9000000000.0
باغ فیض,4667,آپارتمان,دارد,دارد,100,2,0,7900000000.0
